image,not covid,covid
00015969_001.png,0.3508557677268982,0.6265026926994324
covid_386.jpg,0.4621923863887787,0.5385516285896301
covid_6.png,0.40934327244758606,0.5915945172309875
covid_261.jpeg,0.2536334693431854,0.785228431224823
covid_399.jpg,0.20198051631450653,0.783180296421051
00009138_016.png,0.1979496330022812,0.820676326751709
00013673_001.png,0.186791330575943,0.8282130360603333
covid_451.jpeg,0.12286834418773651,0.8750225305557251
00030138_000.png,0.3067987561225891,0.6265071034431458
covid_152.png,0.31583714485168457,0.710348904132843
covid_318.jpg,0.4933749735355377,0.5054396390914917
covid_37.png,0.3681521713733673,0.6849083304405212
covid_375.jpeg,0.19400057196617126,0.8242244720458984
covid_474.jpeg,0.19662128388881683,0.8271557092666626
00007618_000.png,0.32852035760879517,0.6622459888458252
00020598_000.png,0.20943276584148407,0.7736200094223022
00013670_045.png,0.28671029210090637,0.7100837230682373
covid_448.jpeg,0.3291894495487213,0.6949765682220459
00005963_015.png,0.36244750022888184,0.6520938277244568
covid_204.png,0.23146525025367737,0.7594462037086487
covid_266.jpg,0.33975937962532043,0.6827914118766785
covid_483.jpeg,0.46280309557914734,0.5278199911117554
covid_186.png,0.24451585114002228,0.7846988439559937
00029998_006.png,0.35620996356010437,0.6264559030532837
covid_138.png,0.463830828666687,0.5254107117652893
covid_256.jpeg,0.15480828285217285,0.8501515984535217
covid_348.jpg,0.20493951439857483,0.8055688738822937
covid_36.png,0.28747332096099854,0.7386291027069092
covid_109.png,0.321163147687912,0.7090631723403931
00025811_002.png,0.4722229838371277,0.5266059637069702
covid_207.png,0.2455294281244278,0.7727315425872803
covid_397.jpeg,0.1436845064163208,0.8916284441947937
covid_476.jpeg,0.2651858329772949,0.7428838014602661
covid_113.png,0.391457736492157,0.616186797618866
00005476_000.png,0.3572697043418884,0.6180754899978638
covid_16.png,0.31761252880096436,0.7158550024032593
covid_20.png,0.24910633265972137,0.7648546695709229
covid_247.jpeg,0.453503280878067,0.5713436007499695
covid_80.png,0.35554176568984985,0.6685613989830017
00022559_007.png,0.43353042006492615,0.5679487586021423
covid_226.jpeg,0.2648175358772278,0.7106989026069641
covid_444.png,0.34101447463035583,0.6693571209907532
covid_159.png,0.1787053942680359,0.8393428921699524
covid_89.png,0.2753746211528778,0.7069103717803955
00006497_001.png,0.3605966866016388,0.6515113115310669
covid_46.png,0.15440180897712708,0.8698814511299133
covid_131.png,0.3625756502151489,0.6437669396400452
00006764_003.png,0.24709199368953705,0.748708188533783
covid_377.jpeg,0.23302942514419556,0.7798593640327454
covid_490.jpeg,0.3515280485153198,0.63563072681427
covid_167.png,0.19471429288387299,0.8239062428474426
covid_345.jpeg,0.3110499382019043,0.7057955265045166
00010456_002.png,0.383648157119751,0.616997480392456
covid_170.png,0.4277801513671875,0.5572225451469421
covid_267.jpeg,0.22542288899421692,0.7502039074897766
covid_417.jpeg,0.4893587827682495,0.5195902585983276
covid_405.jpg,0.47708073258399963,0.535390317440033
covid_353.png,0.31956377625465393,0.6706386208534241
covid_322.jpg,0.39914193749427795,0.6146255731582642
